,Agency Name:,County of Court,Submitted,Nature of the investigation,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency
598,Los Angeles Police Department,Los Angeles,06/01/2017 - 21:08,A missing juvenile named Zakiya Tolbert last used the subscriber phone prior to being reported missing by parent.,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2017-04-07,2017-05-07,emergency involving threat of death or great bodily injury to a juvenile., ,Yes,A missing juvenile named Zakiya Tolbert last used the subscriber phone prior to being reported missing by parent.
600,Beverly Hills Police Department,Los Angeles,06/02/2017 - 13:48,Sexual Assault Investigation,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-12-01,2017-06-01,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
601,Inglewood Police Department,Los Angeles,06/02/2017 - 14:15,Stolen Firearm from a firing range,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-01-22,2017-06-09,"tends to show that a felony has been committed or that a particular person has committed a felony
Will assist in locating an individual who has committed or is committing a felony
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
603,Monterey County Sheriff's Office,Monterey,06/05/2017 - 09:21,Homicide Investigation,Business,Apple Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2010-10-10,2017-05-16,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, 
604,San Bernardino County Sheriff's Department,San Bernardino,06/05/2017 - 10:07,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-02-24,2017-03-24,Warrant to arrest , ,No, 
605,San Bernardino County Sheriff's Department,San Bernardino,06/05/2017 - 10:18,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-02-22,2017-03-22,Warrant to arrest , ,No, 
606,Torrance Police Department,Los Angeles,06/05/2017 - 11:21,Related to narcotic offense,Device Only, ,Location information,2017-03-15,2017-03-24,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, 
609,San Bernardino County Sheriff's Department,San Bernardino,06/05/2017 - 13:44,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-01-01,2017-04-07,Warrant to arrest ,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
610,Orange County Sheriff Department,Orange,06/06/2017 - 08:11,Network Intrusion,Business,Cox Communication,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-01,2017-05-01,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
611,Orange County Sheriff Department,Orange,06/06/2017 - 08:12,Network Intrusion,Business,Frontier Communications of America,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-01,2017-05-01,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
612,Sacramento County Probation,Sacramento,06/06/2017 - 08:58,Investigation into the sales of narcotics.,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01,2017-05-10,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
